Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 68.0.3440.106,,2018-09-20 14:18:35,2018-09-20 14:19:57,"1m - 21,831s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:18:36,2018-09-20 14:19:13,"37,960s",FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:18:36,2018-09-20 14:18:41,"5,202s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:18:41,2018-09-20 14:18:41,"0,131s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:18:41,2018-09-20 14:18:41,"0,107s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 14:18:41,2018-09-20 14:18:42,"0,380s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-20 14:18:42,2018-09-20 14:19:13,"31,894s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:19:13,2018-09-20 14:19:20,"6,359s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:19:14,2018-09-20 14:19:18,"4,957s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:19:18,2018-09-20 14:19:19,"0,134s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:19:19,2018-09-20 14:19:19,"0,149s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 14:19:19,2018-09-20 14:19:19,"0,392s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-20 14:19:19,2018-09-20 14:19:19,"0,067s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-20 14:19:19,2018-09-20 14:19:20,"0,649s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:19:20,2018-09-20 14:19:56,"36,581s",FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:19:20,2018-09-20 14:19:24,"4,156s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:19:24,2018-09-20 14:19:24,"0,124s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:19:24,2018-09-20 14:19:24,"0,104s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 14:19:24,2018-09-20 14:19:25,"0,388s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-20 14:19:25,2018-09-20 14:19:56,"31,802s",FAILED
