Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 68.0.3440.106,,2018-09-19 16:07:01,2018-09-19 16:07:28,"27,450s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-19 16:07:01,2018-09-19 16:07:28,"26,633s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 16:07:01,2018-09-19 16:07:05,"3,235s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 16:07:05,2018-09-19 16:07:06,"1,551s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:07:06,2018-09-19 16:07:06,"0,372s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:07:06,2018-09-19 16:07:07,"0,143s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:07:07,2018-09-19 16:07:07,"0,102s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:07:07,2018-09-19 16:07:07,"0,411s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-19 16:07:07,2018-09-19 16:07:28,"20,502s",FAILED
