Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 68.0.3440.106,,2018-09-19 15:06:11,2018-09-19 15:06:40,"29,076s",FAILED
,,,,,,
Test Cases/TestCase1,Chrome 68.0.3440.106,,2018-09-19 15:06:12,2018-09-19 15:06:40,"28,224s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 15:06:12,2018-09-19 15:06:15,"3,250s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 15:06:15,2018-09-19 15:06:17,"1,503s",PASSED
Statement - switch (true),Chrome 68.0.3440.106,,2018-09-19 15:06:17,2018-09-19 15:06:17,"0,006s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 15:06:17,2018-09-19 15:06:19,"2,815s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 15:06:19,2018-09-19 15:06:21,"1,432s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 15:06:21,2018-09-19 15:06:21,"0,327s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 15:06:21,2018-09-19 15:06:21,"0,141s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-19 15:06:21,2018-09-19 15:06:21,"0,151s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 15:06:21,2018-09-19 15:06:22,"0,407s",PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 15:06:22,2018-09-19 15:06:40,"17,935s",FAILED
