Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 68.0.3440.106,,2018-09-20 14:38:04,2018-09-20 14:38:20,"16,154s",ERROR
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:38:04,2018-09-20 14:38:10,"5,712s",ERROR
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:38:04,2018-09-20 14:38:09,"5,290s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:38:09,2018-09-20 14:38:10,"0,169s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:38:10,2018-09-20 14:38:14,"4,704s",ERROR
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:38:10,2018-09-20 14:38:14,"4,624s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:38:14,2018-09-20 14:38:14,"0,071s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:38:14,2018-09-20 14:38:19,"4,741s",ERROR
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:38:14,2018-09-20 14:38:19,"4,665s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:38:19,2018-09-20 14:38:19,"0,066s",FAILED
