Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 68.0.3440.106,,2018-09-20 14:37:30,2018-09-20 14:37:46,"15,901s",ERROR
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:37:30,2018-09-20 14:37:35,"5,599s",ERROR
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:37:30,2018-09-20 14:37:35,"5,199s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:37:35,2018-09-20 14:37:35,"0,177s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:37:35,2018-09-20 14:37:40,"4,702s",ERROR
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:37:35,2018-09-20 14:37:40,"4,625s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:37:40,2018-09-20 14:37:40,"0,068s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:37:40,2018-09-20 14:37:45,"4,654s",ERROR
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:37:40,2018-09-20 14:37:45,"4,577s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:37:45,2018-09-20 14:37:45,"0,067s",FAILED
