Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 68.0.3440.106,,2018-09-19 14:27:36,2018-09-19 14:27:51,"15,044s",PASSED
,,,,,,
Test Cases/TestCase2,Chrome 68.0.3440.106,,2018-09-19 14:27:36,2018-09-19 14:27:45,"8,323s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 14:27:36,2018-09-19 14:27:40,"3,251s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 14:27:40,2018-09-19 14:27:43,"3,372s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:27:43,2018-09-19 14:27:44,"0,773s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-19 14:27:44,2018-09-19 14:27:44,"0,034s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 14:27:44,2018-09-19 14:27:45,"0,662s",PASSED
,,,,,,
Test Cases/TestCase3,Chrome 68.0.3440.106,,2018-09-19 14:27:45,2018-09-19 14:27:51,"6,434s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 14:27:45,2018-09-19 14:27:47,"2,445s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 14:27:47,2018-09-19 14:27:49,"2,260s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-19 14:27:49,2018-09-19 14:27:49,"0,025s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:27:49,2018-09-19 14:27:50,"0,333s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:27:50,2018-09-19 14:27:50,"0,116s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:27:50,2018-09-19 14:27:50,"0,108s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:27:50,2018-09-19 14:27:50,"0,391s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 14:27:50,2018-09-19 14:27:51,"0,648s",PASSED
