Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuitComplet,Chrome 68.0.3440.106,,2018-09-20 15:29:38,2018-09-20 15:30:16,"38,228s",FAILED
,,,,,,
Test Cases/TestComplet,Chrome 68.0.3440.106,,2018-09-20 15:29:38,2018-09-20 15:29:53,"14,827s",FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:29:38,2018-09-20 15:29:44,"5,518s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:29:44,2018-09-20 15:29:45,"0,980s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:29:45,2018-09-20 15:29:51,"5,944s",FAILED
,,,,,,
Test Cases/TestComplet,Chrome 68.0.3440.106,,2018-09-20 15:29:53,2018-09-20 15:30:01,"8,841s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:29:53,2018-09-20 15:29:58,"4,953s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:29:58,2018-09-20 15:29:58,"0,827s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:29:58,2018-09-20 15:29:59,"1,039s",PASSED
,,,,,,
Test Cases/TestComplet,Chrome 68.0.3440.106,,2018-09-20 15:30:01,2018-09-20 15:30:15,"13,589s",FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:30:01,2018-09-20 15:30:06,"5,000s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:30:06,2018-09-20 15:30:07,"0,821s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:30:07,2018-09-20 15:30:13,"5,735s",FAILED
