Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 68.0.3440.106,,2018-09-20 14:15:50,2018-09-20 14:17:12,"1m - 21,817s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:15:51,2018-09-20 14:16:29,"37,899s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 14:15:51,2018-09-20 14:15:54,"3,234s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 14:15:54,2018-09-20 14:15:56,"1,594s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 14:15:56,2018-09-20 14:15:56,"0,340s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:15:56,2018-09-20 14:15:56,"0,134s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:15:56,2018-09-20 14:15:56,"0,109s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 14:15:56,2018-09-20 14:15:57,"0,396s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-20 14:15:57,2018-09-20 14:16:29,"31,870s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:16:29,2018-09-20 14:16:35,"6,545s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 14:16:29,2018-09-20 14:16:32,"3,044s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 14:16:32,2018-09-20 14:16:33,"1,768s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 14:16:33,2018-09-20 14:16:34,"0,355s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:16:34,2018-09-20 14:16:34,"0,131s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:16:34,2018-09-20 14:16:34,"0,135s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 14:16:34,2018-09-20 14:16:34,"0,373s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-20 14:16:34,2018-09-20 14:16:34,"0,065s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-20 14:16:34,2018-09-20 14:16:35,"0,665s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:16:35,2018-09-20 14:17:12,"36,459s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 14:16:35,2018-09-20 14:16:37,"2,167s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 14:16:37,2018-09-20 14:16:39,"1,567s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 14:16:39,2018-09-20 14:16:39,"0,337s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:16:39,2018-09-20 14:16:39,"0,124s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:16:39,2018-09-20 14:16:39,"0,108s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 14:16:39,2018-09-20 14:16:40,"0,374s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-20 14:16:40,2018-09-20 14:17:12,"31,773s",FAILED
