Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 68.0.3440.106,,2018-09-19 14:31:29,2018-09-19 14:32:59,"1m - 30,076s",PASSED
,,,,,,
Test Cases/TestCase2,Chrome 68.0.3440.106,,2018-09-19 14:31:30,2018-09-19 14:31:50,"20,594s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 14:31:30,2018-09-19 14:31:33,"3,265s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 14:31:33,2018-09-19 14:31:48,"14,727s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:31:48,2018-09-19 14:31:49,"1,671s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-19 14:31:49,2018-09-19 14:31:50,"0,033s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 14:31:50,2018-09-19 14:31:50,"0,651s",PASSED
,,,,,,
Test Cases/TestCase3,Chrome 68.0.3440.106,,2018-09-19 14:31:50,2018-09-19 14:32:06,"16,069s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 14:31:50,2018-09-19 14:31:52,"2,184s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 14:31:52,2018-09-19 14:32:03,"10,112s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-19 14:32:03,2018-09-19 14:32:03,"0,026s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:32:03,2018-09-19 14:32:04,"1,441s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:32:04,2018-09-19 14:32:04,"0,074s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:32:04,2018-09-19 14:32:04,"0,120s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:32:04,2018-09-19 14:32:06,"1,350s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 14:32:06,2018-09-19 14:32:06,"0,637s",PASSED
,,,,,,
Test Cases/TestCase1,Chrome 68.0.3440.106,,2018-09-19 14:32:06,2018-09-19 14:32:59,"53,091s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 14:32:06,2018-09-19 14:32:09,"2,405s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 14:32:09,2018-09-19 14:32:25,"16,326s",PASSED
Statement - switch (true),Chrome 68.0.3440.106,,2018-09-19 14:32:25,2018-09-19 14:32:25,"0,008s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 14:32:25,2018-09-19 14:32:28,"2,832s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 14:32:28,2018-09-19 14:32:50,"21,901s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:32:50,2018-09-19 14:32:53,"3,036s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 14:32:53,2018-09-19 14:32:53,"0,142s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-19 14:32:53,2018-09-19 14:32:53,"0,192s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:32:53,2018-09-19 14:32:56,"2,708s",PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 14:32:56,2018-09-19 14:32:56,"0,213s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:32:56,2018-09-19 14:32:56,"0,080s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:32:56,2018-09-19 14:32:56,"0,083s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:32:56,2018-09-19 14:32:56,"0,105s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:32:56,2018-09-19 14:32:56,"0,070s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 14:32:56,2018-09-19 14:32:57,"0,107s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 14:32:57,2018-09-19 14:32:59,"2,081s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 14:32:59,2018-09-19 14:32:59,"0,646s",PASSED
