Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuitComplet,Chrome 68.0.3440.106,,2018-09-20 15:36:17,2018-09-20 15:36:54,"37,659s",FAILED
,,,,,,
Test Cases/TestComplet,Chrome 68.0.3440.106,,2018-09-20 15:36:17,2018-09-20 15:36:32,"14,610s",FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:36:17,2018-09-20 15:36:23,"5,517s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:36:23,2018-09-20 15:36:24,"0,866s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:36:24,2018-09-20 15:36:30,"5,838s",FAILED
,,,,,,
Test Cases/TestComplet,Chrome 68.0.3440.106,,2018-09-20 15:36:32,2018-09-20 15:36:40,"8,723s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:36:32,2018-09-20 15:36:37,"4,969s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:36:37,2018-09-20 15:36:37,"0,750s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:36:37,2018-09-20 15:36:38,"0,961s",PASSED
,,,,,,
Test Cases/TestComplet,Chrome 68.0.3440.106,,2018-09-20 15:36:40,2018-09-20 15:36:54,"13,337s",FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:36:40,2018-09-20 15:36:45,"4,904s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:36:45,2018-09-20 15:36:46,"0,707s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 15:36:46,2018-09-20 15:36:52,"5,703s",FAILED
