Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuitComplet,Chrome 68.0.3440.106,,2018-09-20 16:03:11,2018-09-20 16:03:52,"40,344s",FAILED
,,,,,,
Test Cases/TestComplet,Chrome 68.0.3440.106,,2018-09-20 16:03:12,2018-09-20 16:03:28,"16,005s",FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 16:03:12,2018-09-20 16:03:19,"6,889s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 16:03:19,2018-09-20 16:03:20,"0,870s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 16:03:20,2018-09-20 16:03:26,"5,841s",FAILED
,,,,,,
Test Cases/TestComplet,Chrome 68.0.3440.106,,2018-09-20 16:03:28,2018-09-20 16:03:37,"9,304s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 16:03:28,2018-09-20 16:03:33,"5,559s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 16:03:33,2018-09-20 16:03:34,"0,742s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 16:03:34,2018-09-20 16:03:35,"0,971s",PASSED
,,,,,,
Test Cases/TestComplet,Chrome 68.0.3440.106,,2018-09-20 16:03:37,2018-09-20 16:03:51,"14,056s",FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 16:03:37,2018-09-20 16:03:43,"5,617s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 16:03:43,2018-09-20 16:03:43,"0,717s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 16:03:43,2018-09-20 16:03:49,"5,681s",FAILED
