Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 68.0.3440.106,,2018-09-20 12:55:02,2018-09-20 12:55:41,"39,055s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 12:55:02,2018-09-20 12:55:40,"38,099s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 12:55:03,2018-09-20 12:55:05,"2,741s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 12:55:05,2018-09-20 12:55:08,"2,104s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 12:55:08,2018-09-20 12:55:08,"0,371s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:55:08,2018-09-20 12:55:08,"0,144s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:55:08,2018-09-20 12:55:08,"0,106s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 12:55:08,2018-09-20 12:55:09,"0,358s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-20 12:55:09,2018-09-20 12:55:40,"31,970s",FAILED
