Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 68.0.3440.106,,2018-09-19 16:05:38,2018-09-19 16:06:08,"29,775s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-19 16:05:38,2018-09-19 16:06:07,"28,922s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 16:05:39,2018-09-19 16:05:42,"3,346s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 16:05:42,2018-09-19 16:05:44,"1,542s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:05:44,2018-09-19 16:05:44,"0,343s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:05:44,2018-09-19 16:05:44,"0,137s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 16:05:44,2018-09-19 16:05:44,"0,114s",PASSED
click,Chrome 68.0.3440.106,,2018-09-19 16:05:44,2018-09-19 16:05:45,"0,480s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-19 16:05:45,2018-09-19 16:06:07,"22,614s",FAILED
