Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuitComplet,Chrome 68.0.3440.106,,2018-09-20 14:55:05,2018-09-20 14:55:26,"21,684s",PASSED
,,,,,,
Test Cases/TestComplet,Chrome 68.0.3440.106,,2018-09-20 14:55:05,2018-09-20 14:55:12,"7,145s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:55:05,2018-09-20 14:55:10,"4,927s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:55:10,2018-09-20 14:55:11,"0,912s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:55:11,2018-09-20 14:55:12,"1,054s",PASSED
,,,,,,
Test Cases/TestComplet,Chrome 68.0.3440.106,,2018-09-20 14:55:12,2018-09-20 14:55:19,"6,740s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:55:12,2018-09-20 14:55:17,"5,102s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:55:17,2018-09-20 14:55:18,"0,748s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:55:18,2018-09-20 14:55:19,"0,882s",PASSED
,,,,,,
Test Cases/TestComplet,Chrome 68.0.3440.106,,2018-09-20 14:55:19,2018-09-20 14:55:26,"6,858s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:55:19,2018-09-20 14:55:24,"5,293s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:55:24,2018-09-20 14:55:25,"0,694s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 14:55:25,2018-09-20 14:55:26,"0,866s",PASSED
