Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 68.0.3440.106,,2018-09-20 14:12:51,2018-09-20 14:13:29,"38,872s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 68.0.3440.106,,2018-09-20 14:12:51,2018-09-20 14:13:29,"37,941s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 14:12:51,2018-09-20 14:12:54,"3,251s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 14:12:54,2018-09-20 14:12:56,"1,557s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 14:12:56,2018-09-20 14:12:56,"0,363s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:12:56,2018-09-20 14:12:56,"0,142s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 14:12:56,2018-09-20 14:12:57,"0,106s",PASSED
click,Chrome 68.0.3440.106,,2018-09-20 14:12:57,2018-09-20 14:12:57,"0,414s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-20 14:12:57,2018-09-20 14:13:29,"31,853s",FAILED
